"ref_date","united states, adp employment change","united states, business confidence","united states, chicago fed national activity index","united states, chicago pmi","united states, consumer confidence","united states, continuing jobless claims","united states, corporate 10y t bill spread","united states, gdp growth rate","united states, industrial production mom","united states, initial jobless claims","united states, interbank rate","united states, manufacturing payrolls","united states, manufacturing pmi","united states, mortgage applications","united states, nfib business optimism index","united states, non farm payrolls","united states, non manufacturing pmi","united states, ny empire state manufacturing index","united states, philadelphia fed manufacturing index","united states, redbook index sa","united states, richmond fed manufacturing index","united states, services pmi","united states, t bill spread 10y 3m"
2001-12-31,-111.432213373512,-6.67447912877784,-0.531154639749339,-11.2336096248782,-7.24305824051257,-0.0207692396990049,0.584233477003718,-1.61793682954743,-0.201516420289191,-0.071380993146428,-0.0795525235390424,-83.0364293044179,NA,NA,-1.35733190180103,-274.544680019728,-5.26557779991681,-10.2413543673865,-19.5357099852167,NA,-13.8713900627789,NA,2.0257397287184
2002-01-31,-0.474931369494842,-4.47041382968953,-0.273761340374443,-9.22139188656445,-2.81608696385932,-0.0132190546732924,0.451323780208537,NA,0.401653755617806,-0.0203507071839587,-0.0433554776574253,-92.7009830199102,NA,NA,-1.01788030378711,-242.223622078204,-6.07860813808603,0.0209521444946743,2.05523064370696,NA,-1.8338944969887,NA,2.00114847255927
2002-02-28,16.8936022842369,-1.26542742666188,-0.2258990462404,-3.8080344058891,-4.88650804786576,-0.00134673671236234,0.595547401570345,NA,-0.195038585930926,-0.0236941837232566,0.0518318012465662,-40.3465005372833,NA,NA,-1.17668390462371,-225.75499006483,-2.29640833484681,11.0061509179428,2.75313342384187,NA,6.20991541411005,NA,1.79642568387841
2002-03-31,53.6932008606427,0.440401370156579,-0.0676072786633331,1.10635616663692,0.344790634636638,0.0132981604223408,0.437641674381607,0.80864205948289,0.608392776158551,0.0401852584562862,0.0528046337155509,-39.9749098652129,NA,NA,2.66619213793483,-126.151782719496,-2.21810055587016,10.6159985892565,3.95742206235739,NA,9.25461780871611,NA,2.09177553244192
2002-04-30,25.9436776326825,0.446993850617332,0.0410744410406358,0.921673180502609,-2.12307878918359,0.0189176973944061,0.436397702725392,NA,0.211934062980173,0.0327651835217413,-0.0025041152436716,-18.5881390123749,NA,NA,0.310682666134269,-198.426998782091,-1.54280696682714,16.1522517947341,4.46752026642281,NA,14.2947347537038,NA,2.08942280774704
2002-05-31,67.664845873316,1.15427130457186,0.110106591555384,3.43780998519701,2.00899580784206,0.00347879765320605,0.53653573171918,NA,0.215571495627875,-0.0483011606223339,-0.0263206255231432,-22.188115987445,NA,NA,0.456722522220431,-90.593636992504,-0.269649733388817,8.01666717067425,2.08285174320745,NA,3.33091175038166,NA,2.01805185727689
2002-06-30,53.8765188555029,1.6621550218716,0.499449651564789,2.55465993020909,-2.25987344711787,-0.0236713366430865,0.635405193083319,-0.268128930687643,0.819291295195593,-0.0547038973779747,-0.00713858464065985,-5.77676879909902,NA,NA,1.20424654843895,-48.6646960906229,-2.59775102122616,3.21100135337531,12.5028401998806,NA,0.36379430005818,NA,1.79867477971074
2002-07-31,23.5297537560329,-1.72943370763197,-0.560935900247271,-1.32788363497208,-6.33057442689491,-0.0395506389975081,0.854719154901794,NA,-0.376920317222736,-0.00299785472212804,-0.0106447453701782,-8.35602545601265,NA,NA,-1.54681041296435,-189.653174816337,-4.72623299601029,-8.3629890208642,-1.87309065638842,NA,-3.60597209595813,NA,1.53375821918243
2002-08-31,-53.4411791346087,-1.62057359408736,-0.0710895851969198,0.0900726391425195,-6.60399500432048,0.000611578681039829,0.932645230713136,NA,-0.173077120533175,0.0196280382643095,-0.034527507754649,-50.9278139668617,NA,NA,0.00348648025622822,-95.5720719095352,-4.25421782341218,0.99645268425421,-8.94551711843031,NA,-1.57774193635876,NA,1.19413245618943
2002-09-30,-51.041646872919,-1.41134334764311,-0.331050924600279,-2.0915778979581,-7.88102305222607,0.00773840542526613,1.1316237613286,-0.848759263031662,-0.0691928936417899,0.0397423509635955,0.0212793921714648,-17.4940623403219,NA,NA,-0.244927929653571,-175.434386110106,-2.88082766910291,-1.60891689497098,-3.11501547907577,NA,-9.5508697198352,NA,0.784991407592845
2002-10-31,10.7229834846047,-2.90182167844776,-0.480859439773471,-8.47294189678491,-13.1625464434432,-0.00295686227933237,1.39541326937763,NA,-0.465281415454644,-0.00474048087401267,-0.00623698295512817,-24.0566985850691,NA,NA,-0.892118800447989,40.7468838420613,-3.80518469875353,-12.3834743981197,-14.9821620311555,NA,-4.52470994507895,NA,0.894756262981048
2002-11-30,35.8473448814653,-3.39208729664983,0.119445347967381,-0.254126007848903,-9.34945305080328,-0.0241150360514121,1.16817419136526,NA,0.3386435351222,-0.0380767066130314,-0.198921738279793,-32.6176507097791,NA,NA,0.461848710118716,-96.0412607929217,-2.32641107803504,-5.2331272900506,0.152466932499817,NA,1.50138288921852,NA,1.34744151337782
